word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
bear,hug,A,7,target,0.15,NaN,NaN,NaN,NaN,positive
caress,hug,A,8,target,0.15,NaN,NaN,NaN,NaN,positive
tight,hug,A,9,target,0.15,NaN,NaN,NaN,NaN,positive
warmth,hug,A,10,target,0.15,NaN,NaN,NaN,NaN,positive
snuggle,hug,A,11,related,0.15,NaN,NaN,NaN,NaN,positive
river,river,A,0,critical,NaN,NaN,NaN,6.72,4.22,positive
stream,river,A,1,target,NaN,NaN,NaN,NaN,NaN,positive
lake,river,A,2,target,NaN,NaN,NaN,NaN,NaN,positive
Mississippi,river,A,3,target,NaN,NaN,NaN,NaN,NaN,positive
boat,river,A,4,target,NaN,NaN,NaN,NaN,NaN,positive
tide,river,A,5,target,NaN,NaN,NaN,NaN,NaN,positive
canoe,river,A,6,target,NaN,NaN,NaN,NaN,NaN,positive
flow,river,A,7,target,NaN,NaN,NaN,NaN,NaN,positive
run,river,A,8,target,NaN,NaN,NaN,NaN,NaN,positive
creek,river,A,9,target,NaN,NaN,NaN,NaN,NaN,positive
bridge,river,A,10,target,NaN,NaN,NaN,NaN,NaN,positive
ferry,river,A,11,related,NaN,NaN,NaN,NaN,NaN,positive
soft,soft,A,0,critical,0.19,NaN,NaN,7.13,3.04,positive
hard,soft,A,1,target,0.19,NaN,NaN,NaN,NaN,positive
light,soft,A,2,target,0.19,NaN,NaN,NaN,NaN,positive
pillow,soft,A,3,target,0.19,NaN,NaN,NaN,NaN,positive
plush,soft,A,4,target,0.19,NaN,NaN,NaN,NaN,positive
comfortable,soft,A,5,target,0.19,NaN,NaN,NaN,NaN,positive
cotton,soft,A,6,target,0.19,NaN,NaN,NaN,NaN,positive
fur,soft,A,7,target,0.19,NaN,NaN,NaN,NaN,positive
touch,soft,A,8,target,0.19,NaN,NaN,NaN,NaN,positive
feather,soft,A,9,target,0.19,NaN,NaN,NaN,NaN,positive
furry,soft,A,10,target,0.19,NaN,NaN,NaN,NaN,positive
fluffy,soft,A,11,related,0.19,NaN,NaN,NaN,NaN,positive
nice,nice,A,0,critical,0.15,NaN,NaN,6.95,3.53,positive
mean,nice,A,1,target,0.15,NaN,NaN,NaN,NaN,positive
good,nice,A,2,target,0.15,NaN,NaN,NaN,NaN,positive
bad,nice,A,3,target,0.15,NaN,NaN,NaN,NaN,positive
kind,nice,A,4,target,0.15,NaN,NaN,NaN,NaN,positive
pleasant,nice,A,5,target,0.15,NaN,NaN,NaN,NaN,positive
people,nice,A,6,target,0.15,NaN,NaN,NaN,NaN,positive
friendly,nice,A,7,target,0.15,NaN,NaN,NaN,NaN,positive
smile,nice,A,8,target,0.15,NaN,NaN,NaN,NaN,positive
nasty,nice,A,9,target,0.15,NaN,NaN,NaN,NaN,positive
polite,nice,A,10,target,0.15,NaN,NaN,NaN,NaN,positive
delightful,nice,A,11,related,0.15,NaN,NaN,NaN,NaN,positive
sabotage,none,A,NaN,unrelated,NaN,NaN,NaN,2,5.15,negative
unforgivable,none,A,NaN,unrelated,NaN,NaN,NaN,2.33,6.25,negative
greed,none,A,NaN,unrelated,NaN,NaN,NaN,2.48,4.45,negative
messy,none,A,NaN,unrelated,NaN,NaN,NaN,3,4.61,negative
germ,none,A,NaN,unrelated,NaN,NaN,NaN,2.5,4.1,negative
scapegoat,none,A,NaN,unrelated,NaN,NaN,NaN,3,4.8,negative
conspiracy,none,A,NaN,unrelated,NaN,NaN,NaN,3.42,5.74,negative
unreliable,none,A,NaN,unrelated,NaN,NaN,NaN,2.74,4.29,negative
complaint,none,A,NaN,unrelated,NaN,NaN,NaN,3.21,4.29,negative
vertical,none,A,NaN,unrelated,NaN,NaN,NaN,5,4.32,neutral
secretary,none,A,NaN,unrelated,NaN,NaN,NaN,5.18,3.8,neutral
mittens,none,A,NaN,unrelated,NaN,NaN,NaN,5.6,2.33,neutral
length,none,A,NaN,unrelated,NaN,NaN,NaN,5.21,3.41,neutral
beefsteak,none,A,NaN,unrelated,NaN,NaN,NaN,5.53,4.05,neutral
unisex,none,A,NaN,unrelated,NaN,NaN,NaN,5.78,4.95,neutral
register,none,A,NaN,unrelated,NaN,NaN,NaN,5.43,3.14,neutral
comparable,none,A,NaN,unrelated,NaN,NaN,NaN,5.4,4,neutral
shape,none,A,NaN,unrelated,NaN,NaN,NaN,5.41,3.6,neutral
palace,king,A,NaN,unrelated,NaN,NaN,NaN,6.1,4.67,positive
weekend,none,A,NaN,unrelated,NaN,NaN,NaN,7.17,5.81,positive
innocent,none,A,NaN,unrelated,NaN,NaN,NaN,6.55,4.4,positive
empathize,none,A,NaN,unrelated,NaN,NaN,NaN,7.1,3.55,positive
profit,none,A,NaN,unrelated,NaN,NaN,NaN,6.95,5.24,positive
creative,none,A,NaN,unrelated,NaN,NaN,NaN,7.06,4.86,positive
entertain,none,A,NaN,unrelated,NaN,NaN,NaN,7.21,5.19,positive
travel,none,A,NaN,unrelated,NaN,NaN,NaN,7.89,5.55,positive
relax,none,A,NaN,unrelated,NaN,NaN,NaN,7.82,2.38,positive
fat,fat,B,0,critical,NaN,5.01,4.23,2.74,3.89,negative
skinny,fat,B,1,target,NaN,5.01,4.23,NaN,NaN,negative
thin,fat,B,2,target,NaN,5.01,4.23,NaN,NaN,negative
cat,fat,B,3,target,NaN,5.01,4.23,NaN,NaN,negative
ugly,fat,B,4,target,NaN,5.01,4.23,NaN,NaN,negative
diet,fat,B,5,target,NaN,5.01,4.23,NaN,NaN,negative
big,fat,B,6,target,NaN,5.01,4.23,NaN,NaN,negative
cow,fat,B,7,target,NaN,5.01,4.23,NaN,NaN,negative
slob,fat,B,8,target,NaN,5.01,4.23,NaN,NaN,negative
obese,fat,B,9,target,NaN,5.01,4.23,NaN,NaN,negative
pig,fat,B,10,target,NaN,5.01,4.23,NaN,NaN,negative
large,fat,B,11,related,NaN,5.01,4.23,NaN,NaN,negative
anger,anger,B,0,critical,0.22,3.73,5.48,2.5,5.93,negative
mad,anger,B,1,target,0.22,3.73,5.48,NaN,NaN,negative
frustrate,anger,B,2,target,0.22,3.73,5.48,NaN,NaN,negative
hate,anger,B,3,target,0.22,3.73,5.48,NaN,NaN,negative
rage,anger,B,4,target,0.22,3.73,5.48,NaN,NaN,negative
temper,anger,B,5,target,0.22,3.73,5.48,NaN,NaN,negative
fury,anger,B,6,target,0.22,3.73,5.48,NaN,NaN,negative
hostile,anger,B,7,target,0.22,3.73,5.48,NaN,NaN,negative
hatred,anger,B,8,target,0.22,3.73,5.48,NaN,NaN,negative
enrage,anger,B,9,target,0.22,3.73,5.48,NaN,NaN,negative
annoy,anger,B,10,target,0.22,3.73,5.48,NaN,NaN,negative
emotion,anger,B,11,related,0.22,3.73,5.48,NaN,NaN,negative
danger,danger,B,0,critical,NaN,4.1,5.19,2.66,5.84,negative
risk,danger,B,1,target,NaN,4.1,5.19,NaN,NaN,negative
caution,danger,B,2,target,NaN,4.1,5.19,NaN,NaN,negative
warning,danger,B,3,target,NaN,4.1,5.19,NaN,NaN,negative
safe,danger,B,4,target,NaN,4.1,5.19,NaN,NaN,negative
daring,danger,B,5,target,NaN,4.1,5.19,NaN,NaN,negative
trouble,danger,B,6,target,NaN,4.1,5.19,NaN,NaN,negative
zone,danger,B,7,target,NaN,4.1,5.19,NaN,NaN,negative
